M64x2;2;95;64;40;105;44;36;61;92;31;16;26;78;24;26;88
M64x4;4;95;64;40;105;44;36;61;92;31;16;26;78;24;26;88
Tr8x1,5;1,5;8;8;5,3;14,4;6;0;0;0;0;0;4,4;0;0;0;11,6
Tr10x2;2;16;10;6,4;17,8;8;0;0;0;0;0;5,5;0;0;0;14,6
Tr12x3;3;18;12;7,5;20;10;0;0;0;0;0;6,5;0;0;0;16,6
Tr16x4;4;24;16;10;26,2;14;0;0;0;0;0;7,6;0;0;0;22
Tr20x4;4;30;20;12,5;33;17;0;0;0;0;0;8,5;0;0;0;27,7
Tr24x5;5;36;24;15;39,6;19;0;0;0;0;0;9,5;0;0;0;33,3
Tr28x5;5;46;28;18,7;50,9;20;0;0;0;0;0;15;0;0;0;38
Tr32x6;6;46;32;18,7;50,9;23;0;0;0;0;0;16;0;0;0;42,8
Tr36x6;6;55;36;22,5;60,8;26;0;0;0;0;0;17;0;0;0;45
Tr40x7;7;65;40;26;71,3;29;0;0;0;0;0;18;0;0;0;48
Tr44x7;7;65;44;26;71,3;32;0;0;0;0;0;19;0;0;0;52
Tr48x8;8;75;48;30;82,6;35;0;0;0;0;0;20;0;0;0;56
Tr52x8;8;75;52;30;82,6;38;0;0;0;0;0;21;0;0;0;60
Tr60x9;9;85;60;40;94,2;41;0;0;0;0;0;22;0;0;0;68
Tr65x10;10;95;65;40;94,2;44;0;0;0;0;0;23;0;0;0;75
Tr70x10;10;100;70;50;105,8;47;0;0;0;0;0;24;0;0;0;80
Tr75x10;10;105;75;50;105,8;50;0;0;0;0;0;25;0;0;0;85
Tr80x10;10;110;80;60;117,4;53;0;0;0;0;0;26;0;0;0;90
Tr85x12;12;115;85;60;117,4;56;0;0;0;0;0;27;0;0;0;95
Tr90x12;12;120;90;70;129;59;0;0;0;0;0;28;0;0;0;100
Tr95x12;12;125;995;70;129;62;0;0;0;0;0;29;0;0;0;105
Tr100x12;12;130;100;80;140,6;65;0;0;0;0;0;30;0;0;0;110
Tr110x12;12;135;110;80;140,6;68;0;0;0;0;0;31;0;0;0;120
Tr120x14;14;140;120;90;152,2;71;0;0;0;0;0;32;0;0;0;130
